addr,v5,v6,v5_comment,v6_comment
1758,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1759,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1760,13802,13802,"SPIWrite [138]=02, Addr Table Index","SPIWrite [138]=02, Addr Table Index"
1761,13930,13930,"SPIWrite [139]=30, Gain","SPIWrite [139]=30, Gain"
1762,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1763,13b3a,13b3a,"SPIWrite [13B]=3A, GM","SPIWrite [13B]=3A, GM"
1764,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1765,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1766,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1767,13801,13801,"SPIWrite [138]=01, Addr Table Index","SPIWrite [138]=01, Addr Table Index"
1768,13918,13918,"SPIWrite [139]=18, Gain","SPIWrite [139]=18, Gain"
1769,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1770,13b3d,13b3d,"SPIWrite [13B]=3D, GM","SPIWrite [13B]=3D, GM"
1771,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1772,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1773,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1774,13800,13800,"SPIWrite [138]=00, Addr Table Index","SPIWrite [138]=00, Addr Table Index"
1775,13900,13900,"SPIWrite [139]=00, Gain","SPIWrite [139]=00, Gain"
1776,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1777,13b3e,13b3e,"SPIWrite [13B]=3E, GM","SPIWrite [13B]=3E, GM"
1778,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1779,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1780,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1781,13f02,13f02,"SPIWrite [13F]=02, Clear Write Bit","SPIWrite [13F]=02, Clear Write Bit"
1782,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1783,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1784,13f00,13f00,"SPIWrite [13F]=00, Stop Clock","SPIWrite [13F]=00, Stop Clock"
1785,1371a,1371a,"SPIWrite [137]=1A, Start Gain Table Clock","SPIWrite [137]=1A, Start Gain Table Clock"
1786,13000,13000,"SPIWrite [130]=00, Gain Table Index","SPIWrite [130]=00, Gain Table Index"
1787,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1788,13200,13200,"SPIWrite [132]=00, TIA & LPF Word","SPIWrite [132]=00, TIA & LPF Word"
1789,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
1790,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1791,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1792,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1793,13001,13001,"SPIWrite [130]=01, Gain Table Index","SPIWrite [130]=01, Gain Table Index"
1794,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1795,13200,13200,"SPIWrite [132]=00, TIA & LPF Word","SPIWrite [132]=00, TIA & LPF Word"
1796,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1797,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1798,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1799,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1800,13002,13002,"SPIWrite [130]=02, Gain Table Index","SPIWrite [130]=02, Gain Table Index"
1801,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1802,13200,13200,"SPIWrite [132]=00, TIA & LPF Word","SPIWrite [132]=00, TIA & LPF Word"
1803,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1804,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1805,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1806,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1807,13003,13003,"SPIWrite [130]=03, Gain Table Index","SPIWrite [130]=03, Gain Table Index"
1808,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1809,13201,13201,"SPIWrite [132]=01, TIA & LPF Word","SPIWrite [132]=01, TIA & LPF Word"
1810,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1811,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1812,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1813,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1814,13004,13004,"SPIWrite [130]=04, Gain Table Index","SPIWrite [130]=04, Gain Table Index"
1815,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1816,13202,13202,"SPIWrite [132]=02, TIA & LPF Word","SPIWrite [132]=02, TIA & LPF Word"
1817,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1818,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1819,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1820,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1821,13005,13005,"SPIWrite [130]=05, Gain Table Index","SPIWrite [130]=05, Gain Table Index"
1822,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1823,13203,13203,"SPIWrite [132]=03, TIA & LPF Word","SPIWrite [132]=03, TIA & LPF Word"
1824,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1825,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1826,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1827,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1828,13006,13006,"SPIWrite [130]=06, Gain Table Index","SPIWrite [130]=06, Gain Table Index"
1829,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1830,13204,13204,"SPIWrite [132]=04, TIA & LPF Word","SPIWrite [132]=04, TIA & LPF Word"
1831,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1832,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1833,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1834,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1835,13007,13007,"SPIWrite [130]=07, Gain Table Index","SPIWrite [130]=07, Gain Table Index"
1836,13100,13100,"SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=00, Ext LNA, Int LNA, & Mixer Gain Word"
1837,13205,13205,"SPIWrite [132]=05, TIA & LPF Word","SPIWrite [132]=05, TIA & LPF Word"
1838,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1839,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1840,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1841,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1842,13008,13008,"SPIWrite [130]=08, Gain Table Index","SPIWrite [130]=08, Gain Table Index"
1843,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1844,13203,13203,"SPIWrite [132]=03, TIA & LPF Word","SPIWrite [132]=03, TIA & LPF Word"
1845,13320,13320,"SPIWrite [133]=20, DC Cal bit & Dig Gain Word","SPIWrite [133]=20, DC Cal bit & Dig Gain Word"
1846,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1847,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1848,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1849,13009,13009,"SPIWrite [130]=09, Gain Table Index","SPIWrite [130]=09, Gain Table Index"
1850,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1851,13204,13204,"SPIWrite [132]=04, TIA & LPF Word","SPIWrite [132]=04, TIA & LPF Word"
1852,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1853,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1854,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1855,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1856,1300a,1300a,"SPIWrite [130]=0A, Gain Table Index","SPIWrite [130]=0A, Gain Table Index"
1857,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1858,13205,13205,"SPIWrite [132]=05, TIA & LPF Word","SPIWrite [132]=05, TIA & LPF Word"
1859,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1860,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1861,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1862,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1863,1300b,1300b,"SPIWrite [130]=0B, Gain Table Index","SPIWrite [130]=0B, Gain Table Index"
1864,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1865,13206,13206,"SPIWrite [132]=06, TIA & LPF Word","SPIWrite [132]=06, TIA & LPF Word"
1866,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1867,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1868,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1869,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1870,1300c,1300c,"SPIWrite [130]=0C, Gain Table Index","SPIWrite [130]=0C, Gain Table Index"
1871,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1872,13207,13207,"SPIWrite [132]=07, TIA & LPF Word","SPIWrite [132]=07, TIA & LPF Word"
1873,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1874,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1875,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1876,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1877,1300d,1300d,"SPIWrite [130]=0D, Gain Table Index","SPIWrite [130]=0D, Gain Table Index"
1878,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1879,13208,13208,"SPIWrite [132]=08, TIA & LPF Word","SPIWrite [132]=08, TIA & LPF Word"
1880,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
1881,1371e,1371e,"SPIWrite [137]=1E, Write Words","SPIWrite [137]=1E, Write Words"
1882,13400,13400,"SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles","SPIWrite [134]=00, Dummy Write to delay 3 ADCCLK/16 cycles"
1883,13400,13400,"SPIWrite [134]=00, Dummy Write to delay ~1us","SPIWrite [134]=00, Dummy Write to delay ~1us"
1884,1300e,1300e,"SPIWrite [130]=0E, Gain Table Index","SPIWrite [130]=0E, Gain Table Index"
1885,13101,13101,"SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word","SPIWrite [131]=01, Ext LNA, Int LNA, & Mixer Gain Word"
1886,13209,13209,"SPIWrite [132]=09, TIA & LPF Word","SPIWrite [132]=09, TIA & LPF Word"
1887,13300,13300,"SPIWrite [133]=00, DC Cal bit & Dig Gain Word","SPIWrite [133]=00, DC Cal bit & Dig Gain Word"
