addr,v5,v6,v5_comment,v6_comment
807,0f109,0f109,"SPIWrite [0F1]=09, Write FIR coefficient data[7:0]","SPIWrite [0F1]=09, Write FIR coefficient data[7:0]"
808,0f200,0f200,"SPIWrite [0F2]=00, Write FIR coefficient data[15:8]","SPIWrite [0F2]=00, Write FIR coefficient data[15:8]"
809,0f55e,0f55e,"SPIWrite [0F5]=5E, Set Write EN to push data into FIR filter register map","SPIWrite [0F5]=5E, Set Write EN to push data into FIR filter register map"
810,0f400,0f400,"SPIWrite [0F4]=00, Dummy Write to Read only register to delay ~1us","SPIWrite [0F4]=00, Dummy Write to Read only register to delay ~1us"
811,0f400,0f400,"SPIWrite [0F4]=00, Dummy Write to Read only register to delay ~1us","SPIWrite [0F4]=00, Dummy Write to Read only register to delay ~1us"
812,0f001,0f001,SPIWrite [0F0]=01,SPIWrite [0F0]=01
813,0f175,0f175,SPIWrite [0F1]=75,SPIWrite [0F1]=75
814,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
815,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
816,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
817,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
818,0f002,0f002,SPIWrite [0F0]=02,SPIWrite [0F0]=02
819,0f1ed,0f1ed,SPIWrite [0F1]=ED,SPIWrite [0F1]=ED
820,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
821,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
822,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
823,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
824,0f003,0f003,SPIWrite [0F0]=03,SPIWrite [0F0]=03
825,0f1bb,0f1bb,SPIWrite [0F1]=BB,SPIWrite [0F1]=BB
826,0f2ff,0f2ff,SPIWrite [0F2]=FF,SPIWrite [0F2]=FF
827,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
828,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
829,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
830,0f004,0f004,SPIWrite [0F0]=04,SPIWrite [0F0]=04
831,0f1d1,0f1d1,SPIWrite [0F1]=D1,SPIWrite [0F1]=D1
832,0f2fe,0f2fe,SPIWrite [0F2]=FE,SPIWrite [0F2]=FE
833,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
834,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
835,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
836,0f005,0f005,SPIWrite [0F0]=05,SPIWrite [0F0]=05
837,0f124,0f124,SPIWrite [0F1]=24,SPIWrite [0F1]=24
838,0f201,0f201,SPIWrite [0F2]=01,SPIWrite [0F2]=01
839,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
840,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
841,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
842,0f006,0f006,SPIWrite [0F0]=06,SPIWrite [0F0]=06
843,0f156,0f156,SPIWrite [0F1]=56,SPIWrite [0F1]=56
844,0f201,0f201,SPIWrite [0F2]=01,SPIWrite [0F2]=01
845,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
846,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
847,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
848,0f007,0f007,SPIWrite [0F0]=07,SPIWrite [0F0]=07
849,0f139,0f139,SPIWrite [0F1]=39,SPIWrite [0F1]=39
850,0f2fd,0f2fd,SPIWrite [0F2]=FD,SPIWrite [0F2]=FD
851,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
852,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
853,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
854,0f008,0f008,SPIWrite [0F0]=08,SPIWrite [0F0]=08
855,0f191,0f191,SPIWrite [0F1]=91,SPIWrite [0F1]=91
856,0f2ff,0f2ff,SPIWrite [0F2]=FF,SPIWrite [0F2]=FF
857,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
858,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
859,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
860,0f009,0f009,SPIWrite [0F0]=09,SPIWrite [0F0]=09
861,0f1dc,0f1dc,SPIWrite [0F1]=DC,SPIWrite [0F1]=DC
862,0f204,0f204,SPIWrite [0F2]=04,SPIWrite [0F2]=04
863,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
864,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
865,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
866,0f00a,0f00a,SPIWrite [0F0]=0A,SPIWrite [0F0]=0A
867,0f177,0f177,SPIWrite [0F1]=77,SPIWrite [0F1]=77
868,0f2fd,0f2fd,SPIWrite [0F2]=FD,SPIWrite [0F2]=FD
869,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
870,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
871,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
872,0f00b,0f00b,SPIWrite [0F0]=0B,SPIWrite [0F0]=0B
873,0f1bb,0f1bb,SPIWrite [0F1]=BB,SPIWrite [0F1]=BB
874,0f2f9,0f2f9,SPIWrite [0F2]=F9,SPIWrite [0F2]=F9
875,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
876,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
877,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
878,0f00c,0f00c,SPIWrite [0F0]=0C,SPIWrite [0F0]=0C
879,0f190,0f190,SPIWrite [0F1]=90,SPIWrite [0F1]=90
880,0f208,0f208,SPIWrite [0F2]=08,SPIWrite [0F2]=08
881,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
882,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
883,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
884,0f00d,0f00d,SPIWrite [0F0]=0D,SPIWrite [0F0]=0D
885,0f1ed,0f1ed,SPIWrite [0F1]=ED,SPIWrite [0F1]=ED
886,0f204,0f204,SPIWrite [0F2]=04,SPIWrite [0F2]=04
887,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
888,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
889,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
890,0f00e,0f00e,SPIWrite [0F0]=0E,SPIWrite [0F0]=0E
891,0f148,0f148,SPIWrite [0F1]=48,SPIWrite [0F1]=48
892,0f2ec,0f2ec,SPIWrite [0F2]=EC,SPIWrite [0F2]=EC
893,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
894,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
895,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
896,0f00f,0f00f,SPIWrite [0F0]=0F,SPIWrite [0F0]=0F
897,0f130,0f130,SPIWrite [0F1]=30,SPIWrite [0F1]=30
898,0f205,0f205,SPIWrite [0F2]=05,SPIWrite [0F2]=05
899,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
900,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
901,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
902,0f010,0f010,SPIWrite [0F0]=10,SPIWrite [0F0]=10
903,0f1ae,0f1ae,SPIWrite [0F1]=AE,SPIWrite [0F1]=AE
904,0f246,0f246,SPIWrite [0F2]=46,SPIWrite [0F2]=46
905,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
906,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
907,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
908,0f011,0f011,SPIWrite [0F0]=11,SPIWrite [0F0]=11
909,0f1ae,0f1ae,SPIWrite [0F1]=AE,SPIWrite [0F1]=AE
910,0f246,0f246,SPIWrite [0F2]=46,SPIWrite [0F2]=46
911,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
912,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
913,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
914,0f012,0f012,SPIWrite [0F0]=12,SPIWrite [0F0]=12
915,0f130,0f130,SPIWrite [0F1]=30,SPIWrite [0F1]=30
916,0f205,0f205,SPIWrite [0F2]=05,SPIWrite [0F2]=05
917,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
918,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
919,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
920,0f013,0f013,SPIWrite [0F0]=13,SPIWrite [0F0]=13
921,0f148,0f148,SPIWrite [0F1]=48,SPIWrite [0F1]=48
922,0f2ec,0f2ec,SPIWrite [0F2]=EC,SPIWrite [0F2]=EC
923,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
924,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
925,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
926,0f014,0f014,SPIWrite [0F0]=14,SPIWrite [0F0]=14
927,0f1ed,0f1ed,SPIWrite [0F1]=ED,SPIWrite [0F1]=ED
928,0f204,0f204,SPIWrite [0F2]=04,SPIWrite [0F2]=04
929,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
930,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
931,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
932,0f015,0f015,SPIWrite [0F0]=15,SPIWrite [0F0]=15
933,0f190,0f190,SPIWrite [0F1]=90,SPIWrite [0F1]=90
934,0f208,0f208,SPIWrite [0F2]=08,SPIWrite [0F2]=08
935,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
936,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
937,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
938,0f016,0f016,SPIWrite [0F0]=16,SPIWrite [0F0]=16
939,0f1bb,0f1bb,SPIWrite [0F1]=BB,SPIWrite [0F1]=BB
940,0f2f9,0f2f9,SPIWrite [0F2]=F9,SPIWrite [0F2]=F9
941,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
942,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
943,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
944,0f017,0f017,SPIWrite [0F0]=17,SPIWrite [0F0]=17
945,0f177,0f177,SPIWrite [0F1]=77,SPIWrite [0F1]=77
946,0f2fd,0f2fd,SPIWrite [0F2]=FD,SPIWrite [0F2]=FD
947,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
948,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
949,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
950,0f018,0f018,SPIWrite [0F0]=18,SPIWrite [0F0]=18
951,0f1dc,0f1dc,SPIWrite [0F1]=DC,SPIWrite [0F1]=DC
952,0f204,0f204,SPIWrite [0F2]=04,SPIWrite [0F2]=04
953,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
954,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
955,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
956,0f019,0f019,SPIWrite [0F0]=19,SPIWrite [0F0]=19
957,0f191,0f191,SPIWrite [0F1]=91,SPIWrite [0F1]=91
958,0f2ff,0f2ff,SPIWrite [0F2]=FF,SPIWrite [0F2]=FF
959,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
960,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
961,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
962,0f01a,0f01a,SPIWrite [0F0]=1A,SPIWrite [0F0]=1A
963,0f139,0f139,SPIWrite [0F1]=39,SPIWrite [0F1]=39
964,0f2fd,0f2fd,SPIWrite [0F2]=FD,SPIWrite [0F2]=FD
965,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
966,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
967,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
968,0f01b,0f01b,SPIWrite [0F0]=1B,SPIWrite [0F0]=1B
969,0f156,0f156,SPIWrite [0F1]=56,SPIWrite [0F1]=56
970,0f201,0f201,SPIWrite [0F2]=01,SPIWrite [0F2]=01
971,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
972,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
973,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
974,0f01c,0f01c,SPIWrite [0F0]=1C,SPIWrite [0F0]=1C
975,0f124,0f124,SPIWrite [0F1]=24,SPIWrite [0F1]=24
976,0f201,0f201,SPIWrite [0F2]=01,SPIWrite [0F2]=01
977,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
978,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
979,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
980,0f01d,0f01d,SPIWrite [0F0]=1D,SPIWrite [0F0]=1D
981,0f1d1,0f1d1,SPIWrite [0F1]=D1,SPIWrite [0F1]=D1
982,0f2fe,0f2fe,SPIWrite [0F2]=FE,SPIWrite [0F2]=FE
983,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
984,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
985,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
986,0f01e,0f01e,SPIWrite [0F0]=1E,SPIWrite [0F0]=1E
987,0f1bb,0f1bb,SPIWrite [0F1]=BB,SPIWrite [0F1]=BB
988,0f2ff,0f2ff,SPIWrite [0F2]=FF,SPIWrite [0F2]=FF
989,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
990,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
991,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
992,0f01f,0f01f,SPIWrite [0F0]=1F,SPIWrite [0F0]=1F
993,0f1ed,0f1ed,SPIWrite [0F1]=ED,SPIWrite [0F1]=ED
994,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
995,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
996,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
997,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
998,0f020,0f020,SPIWrite [0F0]=20,SPIWrite [0F0]=20
999,0f175,0f175,SPIWrite [0F1]=75,SPIWrite [0F1]=75
1000,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1001,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1002,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1003,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1004,0f021,0f021,SPIWrite [0F0]=21,SPIWrite [0F0]=21
1005,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1006,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1007,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1008,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1009,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1010,0f022,0f022,SPIWrite [0F0]=22,SPIWrite [0F0]=22
1011,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1012,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1013,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1014,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1015,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1016,0f023,0f023,SPIWrite [0F0]=23,SPIWrite [0F0]=23
1017,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1018,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1019,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1020,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1021,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1022,0f024,0f024,SPIWrite [0F0]=24,SPIWrite [0F0]=24
1023,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1024,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1025,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1026,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1027,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1028,0f025,0f025,SPIWrite [0F0]=25,SPIWrite [0F0]=25
1029,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1030,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1031,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1032,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1033,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1034,0f026,0f026,SPIWrite [0F0]=26,SPIWrite [0F0]=26
1035,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1036,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1037,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1038,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1039,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1040,0f027,0f027,SPIWrite [0F0]=27,SPIWrite [0F0]=27
1041,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1042,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1043,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1044,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1045,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1046,0f028,0f028,SPIWrite [0F0]=28,SPIWrite [0F0]=28
1047,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1048,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1049,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1050,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1051,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1052,0f029,0f029,SPIWrite [0F0]=29,SPIWrite [0F0]=29
1053,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1054,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1055,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1056,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1057,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1058,0f02a,0f02a,SPIWrite [0F0]=2A,SPIWrite [0F0]=2A
1059,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1060,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1061,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1062,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1063,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1064,0f02b,0f02b,SPIWrite [0F0]=2B,SPIWrite [0F0]=2B
1065,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1066,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1067,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1068,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1069,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1070,0f02c,0f02c,SPIWrite [0F0]=2C,SPIWrite [0F0]=2C
1071,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1072,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1073,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1074,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1075,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1076,0f02d,0f02d,SPIWrite [0F0]=2D,SPIWrite [0F0]=2D
1077,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1078,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1079,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1080,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1081,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1082,0f02e,0f02e,SPIWrite [0F0]=2E,SPIWrite [0F0]=2E
1083,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1084,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1085,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1086,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1087,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1088,0f02f,0f02f,SPIWrite [0F0]=2F,SPIWrite [0F0]=2F
1089,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1090,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1091,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1092,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1093,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1094,0f030,0f030,SPIWrite [0F0]=30,SPIWrite [0F0]=30
1095,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1096,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1097,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1098,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1099,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1100,0f031,0f031,SPIWrite [0F0]=31,SPIWrite [0F0]=31
1101,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1102,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1103,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1104,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1105,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1106,0f032,0f032,SPIWrite [0F0]=32,SPIWrite [0F0]=32
1107,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1108,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1109,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1110,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1111,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1112,0f033,0f033,SPIWrite [0F0]=33,SPIWrite [0F0]=33
1113,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1114,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1115,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1116,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1117,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1118,0f034,0f034,SPIWrite [0F0]=34,SPIWrite [0F0]=34
1119,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1120,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1121,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1122,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1123,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1124,0f035,0f035,SPIWrite [0F0]=35,SPIWrite [0F0]=35
1125,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1126,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1127,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1128,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1129,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1130,0f036,0f036,SPIWrite [0F0]=36,SPIWrite [0F0]=36
1131,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1132,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1133,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1134,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1135,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1136,0f037,0f037,SPIWrite [0F0]=37,SPIWrite [0F0]=37
1137,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1138,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1139,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1140,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1141,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1142,0f038,0f038,SPIWrite [0F0]=38,SPIWrite [0F0]=38
1143,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1144,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1145,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1146,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1147,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
1148,0f039,0f039,SPIWrite [0F0]=39,SPIWrite [0F0]=39
1149,0f100,0f100,SPIWrite [0F1]=00,SPIWrite [0F1]=00
1150,0f200,0f200,SPIWrite [0F2]=00,SPIWrite [0F2]=00
1151,0f55e,0f55e,SPIWrite [0F5]=5E,SPIWrite [0F5]=5E
1152,0f400,0f400,SPIWrite [0F4]=00,SPIWrite [0F4]=00
